filepath	fixed_abundances
GCF_002393505.1_ASM239350v1_genomic.gbff	15.627452570351053
GCF_003544875.1_ASM354487v1_genomic.gbff	13.238291639767649
GCF_001618865.1_ASM161886v1_genomic.gbff	7.082392605950518
GCF_002984565.1_ASM298456v1_genomic.gbff	4.216543196957654
GCF_001704155.1_ASM170415v1_genomic.gbff	3.1289577689055896
GCF_000597845.1_ASM59784v1_genomic.gbff	2.703659704849758
GCF_007970665.1_ASM797066v1_genomic.gbff	1.2605660074643952
GCF_002151545.1_ASM215154v1_genomic.gbff	1.223169683768988
GCF_002055515.1_ASM205551v1_genomic.gbff	1.2051524657566894
GCF_000183665.1_ASM18366v1_genomic.gbff	1.133090542113979
GCF_004768545.1_ASM476854v1_genomic.gbff	1.1050954123910515
GCF_009931595.1_ASM993159v1_genomic.gbff	0.8889304866823714
GCF_002999235.1_ASM299923v1_genomic.gbff	0.8757285143632942
GCF_000014905.1_ASM1490v1_genomic.gbff	0.846996853553092
GCF_003952725.1_ASM395272v1_genomic.gbff	0.8202454885907514
GCF_002163995.1_ASM216399v1_genomic.gbff	0.8009567121919312
GCF_000270245.1_ASM27024v1_genomic.gbff	0.7625320243369327
GCF_012913305.1_ASM1291330v1_genomic.gbff	0.7394563664044824
GCF_001318295.1_ASM131829v1_genomic.gbff	0.7348565213122566
GCF_000747525.1_ASM74752v1_genomic.gbff	0.6914428776019438
GCF_008693345.1_ASM869334v1_genomic.gbff	0.6738912028240548
GCF_001442535.1_ASM144253v1_genomic.gbff	0.6497593871060784
GCF_013128195.1_ASM1312819v1_genomic.gbff	0.613530395699937
GCF_001051055.1_ASM105105v1_genomic.gbff	0.6116821195752661
GCF_002952755.1_ASM295275v1_genomic.gbff	0.589613980582956
GCF_000522985.1_ASM52298v1_genomic.gbff	0.5876336847350944
GCF_000261045.2_ASM26104v2_genomic.gbff	0.5829504587650639
GCF_011302055.1_ASM1130205v1_genomic.gbff	0.57779474115414
GCF_013155125.1_ASM1315512v1_genomic.gbff	0.5596246581991995
GCF_002736205.1_ASM273620v1_genomic.gbff	0.5119933317532658
